Node_x Node_y             X                    Y                    Z
 14   5      2.0224005758E+02     5.9457301912E+01    -5.8709534827E+02
 14   6      2.0224005758E+02     7.4457301912E+01    -5.8708915363E+02
 14   7      2.0224005758E+02     8.9457301912E+01    -5.8708495624E+02
 14   8      2.0224005758E+02     1.0445730191E+02    -5.8709717625E+02
 14   9      2.0224005758E+02     1.1945730191E+02    -5.8710036267E+02
 14  10      2.0224005758E+02     1.3445730191E+02    -5.8711333845E+02
 14  11      2.0224005758E+02     1.4945730191E+02    -5.8710632398E+02
 14  12      2.0224005758E+02     1.6445730191E+02    -5.8711490001E+02
 14  13      2.0224005758E+02     1.7945730191E+02    -5.8712255469E+02
 14  14      2.0224005758E+02     1.9445730191E+02    -5.8711725877E+02
 14  15      2.0224005758E+02     2.0945730191E+02    -5.8711851411E+02
 14  16      2.0224005758E+02     2.2445730191E+02    -5.8711444772E+02
 14  17      2.0224005758E+02     2.3945730191E+02    -5.8710653266E+02
 14  18      2.0224005758E+02     2.5445730191E+02    -5.8710835748E+02
 14  19      2.0224005758E+02     2.6945730191E+02    -5.8709607633E+02
 14  20      2.0224005758E+02     2.8445730191E+02    -5.8709561029E+02
 14  21      2.0224005758E+02     2.9945730191E+02    -5.8709938033E+02
 14  22      2.0224005758E+02     3.1445730191E+02    -5.8711239866E+02
 14  23      2.0224005758E+02     3.2945730191E+02    -5.8710634955E+02
 14  24      2.0224005758E+02     3.4445730191E+02    -5.8711494866E+02
 14  25      2.0224005758E+02     3.5945730191E+02    -5.8712255490E+02
 15   1      2.1724005758E+02    -5.4269808751E-01    -5.8711075660E+02
 15   2      2.1724005758E+02     1.4457301912E+01    -5.8710985368E+02
 15   3      2.1724005758E+02     2.9457301912E+01    -5.8710674211E+02
 15   4      2.1724005758E+02     4.4457301912E+01    -5.8710160838E+02
 15   5      2.1724005758E+02     5.9457301912E+01    -5.8709524987E+02
 15   6      2.1724005758E+02     7.4457301912E+01    -5.8708902444E+02
 15   7      2.1724005758E+02     8.9457301912E+01    -5.8708478596E+02
 15   8      2.1724005758E+02     1.0445730191E+02    -5.8708529433E+02
 15   9      2.1724005758E+02     1.1945730191E+02    -5.8709855816E+02
 15  10      2.1724005758E+02     1.3445730191E+02    -5.8711253776E+02
 15  11      2.1724005758E+02     1.4945730191E+02    -5.8710552794E+02
 15  12      2.1724005758E+02     1.6445730191E+02    -5.8711659063E+02
 15  13      2.1724005758E+02     1.7945730191E+02    -5.8712188046E+02
 15  14      2.1724005758E+02     1.9445730191E+02    -5.8711819252E+02
 15  15      2.1724005758E+02     2.0945730191E+02    -5.8711797339E+02
 15  16      2.1724005758E+02     2.2445730191E+02    -5.8711436692E+02
 15  17      2.1724005758E+02     2.3945730191E+02    -5.8710561245E+02
 15  18      2.1724005758E+02     2.5445730191E+02    -5.8710814146E+02
 15  19      2.1724005758E+02     2.6945730191E+02    -5.8709643408E+02
 15  20      2.1724005758E+02     2.8445730191E+02    -5.8709373970E+02
 15  21      2.1724005758E+02     2.9945730191E+02    -5.8709748476E+02
 15  22      2.1724005758E+02     3.1445730191E+02    -5.8711161529E+02
 15  23      2.1724005758E+02     3.2945730191E+02    -5.8710548940E+02
 15  24      2.1724005758E+02     3.4445730191E+02    -5.8711665209E+02
 15  25      2.1724005758E+02     3.5945730191E+02    -5.8712187966E+02
 16   1      2.3224005758E+02    -5.4269808751E-01    -5.8711077896E+02
 16   2      2.3224005758E+02     1.4457301912E+01    -5.8710989248E+02
 16   3      2.3224005758E+02     2.9457301912E+01    -5.8710681491E+02
 16   4      2.3224005758E+02     4.4457301912E+01    -5.8710174166E+02
 16   5      2.3224005758E+02     5.9457301912E+01    -5.8709545499E+02
 16   6      2.3224005758E+02     7.4457301912E+01    -5.8708927262E+02
 16   7      2.3224005758E+02     8.9457301912E+01    -5.8708504665E+02
 16   8      2.3224005758E+02     1.0445730191E+02    -5.8708661796E+02
 16   9      2.3224005758E+02     1.1945730191E+02    -5.8709951252E+02
 16  10      2.3224005758E+02     1.3445730191E+02    -5.8711242679E+02
