Node_x Node_y             X                    Y                    Z
 12   9      1.7224005758E+02     1.1945730191E+02    -5.8710640293E+02
 12  10      1.7224005758E+02     1.3445730191E+02    -5.8711520603E+02
 12  11      1.7224005758E+02     1.4945730191E+02    -5.8711209517E+02
 12  12      1.7224005758E+02     1.6445730191E+02    -5.8712405128E+02
 12  13      1.7224005758E+02     1.7945730191E+02    -5.8712414220E+02
 12  14      1.7224005758E+02     1.9445730191E+02    -5.8712348193E+02
 12  15      1.7224005758E+02     2.0945730191E+02    -5.8712009191E+02
 12  16      1.7224005758E+02     2.2445730191E+02    -5.8710992937E+02
 12  17      1.7224005758E+02     2.3945730191E+02    -5.8710853964E+02
 12  18      1.7224005758E+02     2.5445730191E+02    -5.8710539635E+02
 12  19      1.7224005758E+02     2.6945730191E+02    -5.8709921209E+02
 12  20      1.7224005758E+02     2.8445730191E+02    -5.8710125037E+02
 12  21      1.7224005758E+02     2.9945730191E+02    -5.8710530034E+02
 12  22      1.7224005758E+02     3.1445730191E+02    -5.8711434045E+02
 12  23      1.7224005758E+02     3.2945730191E+02    -5.8711210885E+02
 12  24      1.7224005758E+02     3.4445730191E+02    -5.8712411784E+02
 12  25      1.7224005758E+02     3.5945730191E+02    -5.8712414270E+02
 13   1      1.8724005758E+02    -5.4269808751E-01    -5.8711327147E+02
 13   2      1.8724005758E+02     1.4457301912E+01    -5.8711111545E+02
 13   3      1.8724005758E+02     2.9457301912E+01    -5.8710791895E+02
 13   4      1.8724005758E+02     4.4457301912E+01    -5.8710255527E+02
 13   5      1.8724005758E+02     5.9457301912E+01    -5.8709622022E+02
 13   6      1.8724005758E+02     7.4457301912E+01    -5.8709005987E+02
 13   7      1.8724005758E+02     8.9457301912E+01    -5.8708591781E+02
 13   8      1.8724005758E+02     1.0445730191E+02    -5.8709965860E+02
 13   9      1.8724005758E+02     1.1945730191E+02    -5.8710297577E+02
 13  10      1.8724005758E+02     1.3445730191E+02    -5.8711465738E+02
 13  11      1.8724005758E+02     1.4945730191E+02    -5.8710834840E+02
 13  12      1.8724005758E+02     1.6445730191E+02    -5.8711236903E+02
 13  13      1.8724005758E+02     1.7945730191E+02    -5.8712373981E+02
 13  14      1.8724005758E+02     1.9445730191E+02    -5.8711504086E+02
 13  15      1.8724005758E+02     2.0945730191E+02    -5.8711960690E+02
 13  16      1.8724005758E+02     2.2445730191E+02    -5.8711272039E+02
 13  17      1.8724005758E+02     2.3945730191E+02    -5.8710751397E+02
 13  18      1.8724005758E+02     2.5445730191E+02    -5.8710678650E+02
 13  19      1.8724005758E+02     2.6945730191E+02    -5.8709477008E+02
 13  20      1.8724005758E+02     2.8445730191E+02    -5.8709710222E+02
 13  21      1.8724005758E+02     2.9945730191E+02    -5.8710188791E+02
 13  22      1.8724005758E+02     3.1445730191E+02    -5.8711373612E+02
 13  23      1.8724005758E+02     3.2945730191E+02    -5.8710840294E+02
 13  24      1.8724005758E+02     3.4445730191E+02    -5.8711241345E+02
 13  25      1.8724005758E+02     3.5945730191E+02    -5.8712374032E+02
 14   1      2.0224005758E+02    -5.4269808751E-01    -5.8711110754E+02
 14   2      2.0224005758E+02     1.4457301912E+01    -5.8711010443E+02
 14   3      2.0224005758E+02     2.9457301912E+01    -5.8710691001E+02
 14   4      2.0224005758E+02     4.4457301912E+01    -5.8710171756E+02
